id,date,stadium,season,tournament,round,home_team,away_team
816456,2022-04-20 00:00:00+00:00,Estadio Victoria de Aguascalientes,2021,Clausura,15,Necaxa,Tigres UANL
143363,2018-03-10 01:00:00+00:00,Estadio Generalisimo Jose Maria Morelos y Pavon (Morelia),2017,Clausura,11,Monarcas,Veracruz
143522,2017-09-28 02:00:00+00:00,Estadio Victoria,2017,Apertura,11,Necaxa,Club Queretaro
120181,2019-01-12 01:00:00+00:00,Estadio Luis Pirata Fuente,2018,Clausura,2,Veracruz,Lobos Buap
143686,2017-03-05 18:00:00+00:00,Estadio Olimpico Universitario,2016,Clausura,9,U.N.A.M. - Pumas,Santos Laguna
1150352,2024-04-21 03:10:00+00:00,Estadio Olimpico Universitario,2023,Clausura,16,U.N.A.M. - Pumas,Club America
120285,2019-04-07 03:00:00+00:00,Estadio Akron,2018,Clausura,13,Guadalajara Chivas,Lobos Buap
169139,2019-09-01 02:05:00+00:00,Estadio Azteca,2019,Apertura,8,Cruz Azul,Guadalajara Chivas
143844,2016-09-21 01:00:00+00:00,Estadio Cuauhtemoc,2016,Apertura,10,Puebla,Veracruz
721864,2021-10-31 23:05:00+00:00,Estadio Azteca,2021,Apertura,16,Cruz Azul,Club America
1031277,2023-07-01 01:00:00+00:00,Estadio El Encanto,2023,Apertura,1,Mazatlan,Pachuca
143866,2016-10-02 17:00:00+00:00,Estadio Olimpico Universitario,2016,Apertura,12,U.N.A.M. - Pumas,Jaguares de Chiapas
143588,2017-05-14 02:00:00+00:00,Estadio Nemesio Diez,2016,Clausura,Quarter-finals,Toluca,Santos Laguna
652855,2021-02-15 01:06:00+00:00,Estadio Nuevo Corona,2020,Clausura,6,Santos Laguna,Monterrey
974335,2023-03-30 03:05:00+00:00,Estadio La Corregidora,2022,Clausura,4,Club Queretaro,Cruz Azul
652804,2021-01-09 03:06:00+00:00,Estadio Caliente,2020,Clausura,1,Club Tijuana,U.N.A.M. - Pumas
143897,2016-11-05 23:00:00+00:00,Estadio La Corregidora,2016,Apertura,16,Club Queretaro,Toluca
143560,2017-10-30 01:15:00+00:00,Estadio TSM Corona,2017,Apertura,15,Santos Laguna,Pachuca
652909,2021-03-21 18:00:00+00:00,Estadio Nemesio Diez,2020,Clausura,12,Toluca,Puebla
864112,2022-07-14 02:00:00+00:00,Estadio Azteca,2022,Apertura,3,Club America,Toluca
1150315,2024-03-17 01:00:00+00:00,Estadio Universitario,2023,Clausura,12,Tigres UANL,Mazatlan
1150342,2024-04-14 03:10:00+00:00,Estadio BBVA,2023,Clausura,15,Monterrey,Tigres UANL
169157,2019-09-22 00:00:00+00:00,Estadio Hidalgo,2019,Apertura,10,Pachuca,Club Tijuana
569770,2020-10-04 00:00:00+00:00,Estadio Universitario de Nuevo Leon,2020,Apertura,13,Tigres UANL,Atletico San Luis
293460,2020-02-09 18:00:00+00:00,Estadio Olimpico de Universitario,2019,Clausura,5,U.N.A.M. - Pumas,Atletico San Luis
143282,2018-01-13 03:00:00+00:00,Estadio Generalisimo Jose Maria Morelos y Pavon (Morelia),2017,Clausura,2,Monarcas,Puebla
143435,2017-07-29 00:00:00+00:00,Estadio Cuauhtemoc,2017,Apertura,2,Puebla,Monarcas
